ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Disappointed in noise level
  
",2.0 ,Kindle Customer,"Reviewed in the United States 🇺🇸 April 5, 2023","







  
  
    The website stated it is quiet as a refrigerator, it's not andthat was a selling point.  Had I not already paid to have it installed, I would send it back. I was excited about it so disappointed to right a poor review
  
",Color: WhiteSize: 8000 BTU,Color: WhiteSize: 8000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    It’s a window air conditioner so is gonna be a little loud!!!
  
",4.0 ,Jefrre,"Reviewed in the United States 🇺🇸 April 1, 2023","







  
  
    Its great works fast and efficient. It come with a very simple and great remote and the wire extension is also very good. But it is very heavy ( understandable ) and a little noise ( But better then any other)
  
",Color: WhiteSize: 12000 BTU,Color: WhiteSize: 12000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Seems to be a good unit so far
  
",5.0 ,Heater,"Reviewed in the United States 🇺🇸 April 1, 2023","







  
  
    Seems to be a good unit so far, easy to install and cooling as it should. Fairly quiet
  
",Color: WhiteSize: 5000 BTU,Color: WhiteSize: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Cools a small room quickly
  
",4.0 ,BAM,"Reviewed in the United States 🇺🇸 March 31, 2023","







  
  
    Needed more air in bedroom, works quickly and cheap!
  
",Color: WhiteSize: 5000 BTU,Color: WhiteSize: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Very compact,Quiet , perfect Temp control
  
",5.0 ,Glenda d.,"Reviewed in the United States 🇺🇸 March 29, 2023","







  
  
    Very Quiet unit,Great quality,very energy efficient for my 12x16 Room,easy access to clean filter!
  
",Color: WhiteSize: 6000 BTU,Color: WhiteSize: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Nice!
  
",5.0 ,Amazon User,"Reviewed in the United States 🇺🇸 March 29, 2023","







  
  
    Great lil AC for a bedroom.  It keeps the room nice and cold
  
",Color: WhiteSize: 5000 BTU,Color: WhiteSize: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Good value
  
",5.0 颗星，最多 5 颗星,Bernard Munn,评论于 2023年3月26日 在美国 🇺🇸 发布,"







  
  
    Built well, relatively quiet, cold, and comes with all installation brackets and seals.  Very nice product
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Stop working after 1 year
  
",1.0 颗星，最多 5 颗星,tnor42,评论于 2023年3月19日 在美国 🇺🇸 发布,"







  
  
    The air conditioner worked great for 1 year.  After that only goes on low speed. And now buttons stop working
  
",颜色: 白色尺寸: 10000 BTU,颜色: 白色尺寸: 10000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    this thing sure works awlful hard to keep a 12' x 24' room cool
  
",3.0 颗星，最多 5 颗星,widow,评论于 2023年3月13日 在美国 🇺🇸 发布,"







  
  
    this thing sure works awful hard to keep a 12' x 24' room cool...  the remote is the thinnest piece of plastic crap Ive ever seen. personally if i could do it all over id buy a different unit.
  
",颜色: 白色尺寸: 8000 BTU,颜色: 白色尺寸: 8000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Doesnt cool well.
  
",3.0 颗星，最多 5 颗星,Bree,评论于 2023年3月13日 在美国 🇺🇸 发布,"







  
  
    It says it works for the size room i have, but it doesnt cool it down. This is a tiny unit, next time i will get a unit for twice the size of room i need.
  
",颜色: 白色尺寸: 8000 BTU,颜色: 白色尺寸: 8000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Cold air. Great
  
",5.0 颗星，最多 5 颗星,Jason Pryde,评论于 2023年3月11日 在美国 🇺🇸 发布,"







  
  
    I don't really know what's not to say about an AC.. You turn it on, set the temperature, it blows out cold air.. They either work or they don't.. 😂
  
",颜色: 白色尺寸: 8000 BTU,颜色: 白色尺寸: 8000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    great product.
  
",5.0 颗星，最多 5 颗星,Amazon Customer,评论于 2023年3月9日 在美国 🇺🇸 发布,"







  
  
    Please remember this only for a small room. This will not carry a large room. I got one for my room and my mother's room. Gets the room cool.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Works!
  
",5.0 颗星，最多 5 颗星,Chris,评论于 2023年3月8日 在美国 🇺🇸 发布,"







  
  
    This is a good cheap option for a smaller room, I wouldn't expect it to cool my entire house. It does do okay in an upstairs room during hot days, could cool a little better on those days, but I expect just about any AC to struggle when it is humid and over 90 in an upstairs room.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    The control
  
",3.0 颗星，最多 5 颗星,Glenn,评论于 2023年3月8日 在美国 🇺🇸 发布,"







  
  
    The control was not set up right, I use it for two week and that was all I good stand.
  
",颜色: 白色尺寸: 8000 BTU,颜色: 白色尺寸: 8000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Good little a/c unit for the garage
  
",5.0 颗星，最多 5 颗星,jettatrekgirl,评论于 2023年3月8日 在美国 🇺🇸 发布,"







  
  
    I bought this for my garage. I live in Alabama. It is March 7, 2023 and was 86 degrees today. This air conditioner was delivered today, so you know I had to install it! Packaging was easy to remove. Now, I must have the world's smallest window in my garage. It's an old, metal frame window. When I read the description, it seemed like it would fit perfectly after measuring my window. The unit itself fit no problem. The issue was the side panels. It was just like an inch too big horizontally to fit my window. However, I remedied this issue by cutting an inch off of the left and right panel frames. Doing this allowed it to fit perfectly. The height was fine. The screws it comes with are kind of junk, but they work for what you need. Also, the mounting brackets didnt work for me, but again, I have some crazy windowns, apparently. So I made my modifications, installed it, and turned it on. Initially, it made a lot of noise kicking on the first time. Now it's quite quiet. It's blowing out some seriously cold air. I am in the process of insulating my garage (already did the garage doors, working on throwing up the panels on the rafters). I think this is going make working on my cars during the summer exponentially better. I don't know how it will do in the full blown summer yet, but I have high hopes. It will at least be tolerable. I'll update in a few months if anything goes wrong with it. Side note: if you want to insulate your garage with insulation panels, go to Lowes over home depot. I got Poly Pro 3/4"" thick 4' x 8' panels for approx. $15 a piece. Just use a sharp utility knife to cut it and gorilla glue hot glue sticks to mount it to your garage door panels (you'll need to put blocks of the insulation panels on the garage doors before you install your cut panels or else the height won't be right. You'll know what I'm talking about if you go to do it.) Thank me later.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Sent back taking forever
  
",1.0 颗星，最多 5 颗星,Ruth,评论于 2023年3月5日 在美国 🇺🇸 发布,"







  
  
    Dislike the whole unit send something used coffee  stain dented for $380.00
  
",颜色: 白色尺寸: 10000 BTU,颜色: 白色尺寸: 10000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    No good
  
",1.0 颗星，最多 5 颗星,Yoenni,评论于 2023年2月26日 在美国 🇺🇸 发布,"







  
  
    Ac works same as fan the air is hot no good
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    broke in 6 months
  
",1.0 颗星，最多 5 颗星,Riley,评论于 2023年2月26日 在美国 🇺🇸 发布,"







  
  
    this worked amazing at first, made made bedroom ice cold. one day, it just wouldn’t turn run at all. iIt turns on, but no air comes out. very unfortunate.
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    For me, price
  
",5.0 颗星，最多 5 颗星,david r matheny,评论于 2023年2月24日 在美国 🇺🇸 发布,"







  
  
    Came really fast. Seems to cool ok. Hasn’t been that hot yer so well see how that goes.  It is really quiet sure on high fan its about like a floor fan but good.  Only con is the display lights are realllly hard to see (for older folks).  So far. Good buy
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Removes humidity
  
",5.0 颗星，最多 5 颗星,ALONDRA,评论于 2023年2月22日 在美国 🇺🇸 发布,"







  
  
    I really liked how well this removed all the uncomfortable humidity in my 2 bedroom apartment during the hottest days of the summer.The filter does a great job at catching all the fussies that are in my apartment. It's crazy seeing what is floating around in the air!It comes with everything you need to install it. Including foams and seals. Convenient!
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Easy installation
  
",5.0 颗星，最多 5 颗星,Myles,评论于 2023年2月22日 在美国 🇺🇸 发布,"







  
  
    I’m not much of a handyman or good with directions, but I got it properly set up and tightly secured in about 20 minutes
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Very clean for a used AC
  
",5.0 颗星，最多 5 颗星,Terry P.,评论于 2023年2月20日 在美国 🇺🇸 发布,"







  
  
    It is adequate for a small room
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Dont leave in window if it rains
  
",1.0 颗星，最多 5 颗星,DH,评论于 2023年2月19日 在美国 🇺🇸 发布,"







  
  
    This was always a pretty average AC unit, but its made terrible by the fact that its designed to stick out your window, however one day of rain and the AC unit no longer produces cold air. In New York it can be 70+ degrees one day and 50 and raining another. This unit was clearly designed for a dry place where its only ever dry heat because any other kind of weather breaks the machine.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
